type	latitude	longitude	altitude (m)	name	desc
T	44.126600000	5.280560000	957.0		
T	44.126620000	5.280660000	957.5		
T	44.126660000	5.280790000	957.8		
T	44.126760000	5.281080000	958.0		
T	44.126880000	5.281420000	958.3		
T	44.126990000	5.281730000	961.8		
T	44.127010000	5.281800000	963.0		
T	44.127030000	5.281880000	964.2		
T	44.127050000	5.281960000	965.2		
T	44.127050000	5.282040000	965.6		
T	44.127050000	5.282130000	966.0		
T	44.127040000	5.282240000	966.4		
T	44.127000000	5.282580000	968.2		
T	44.126960000	5.282910000	971.9		
T	44.126940000	5.283060000	973.2		
T	44.126930000	5.283300000	975.3		
