type	latitude	longitude	altitude (m)	name	desc
T	50.911330000	3.426870000	9.1		
T	50.911050000	3.426290000	9.2		
T	50.910740000	3.425660000	8.5		
T	50.910630000	3.425440000	9.7		
T	50.910520000	3.425210000	11.1		
T	50.910160000	3.424450000	6.3		
T	50.910100000	3.424320000	6.5		
T	50.909920000	3.423990000	7.6		
T	50.909830000	3.423790000	8.4		
T	50.909670000	3.423460000	8.8		
T	50.909330000	3.422740000	8.1		
T	50.908970000	3.421970000	9.7		
T	50.908650000	3.421290000	9.6		
T	50.908550000	3.421060000	9.0		
T	50.907830000	3.419510000	10.2		
T	50.906820000	3.417340000	8.0		
T	50.906500000	3.416650000	8.4		
T	50.905760000	3.415050000	8.7		
T	50.904980000	3.413370000	7.0		
T	50.904880000	3.413150000	5.7		
T	50.904680000	3.412720000	4.7		
T	50.904670000	3.412710000	4.8		
T	50.904330000	3.411960000	8.9		
T	50.904020000	3.411280000	8.5		
T	50.903940000	3.411110000	8.8		
T	50.903690000	3.410540000	8.7		
